,Template,edit_site,change_H,change_C,change_S,Frequency
6409,[C:1]-[N:2]>>O=[C:1].[N-]=[N+]=[N:2]_-1-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",6
6410,[N:1]=[c:2]>>[N:1].O=[c:2]_20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 0}","{2: 0, 1: 0}",11
6411,[N:1]>>C-C-C(-C)-S(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
6412,[C:1]-[C:2]>>O-[C:1]=[C:2]_-2-1_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{2: -1, 1: -2}","{2: 0, 1: 0}","{2: 0, 1: 0}",6
6413,[c:1]-[O:2]>>Cl-[c:1].[O:2]-N-c1:c:c:c:c:c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
6414,[c:1]-[C:2]>>Br-C-[c:1].C-N(-C)-[C:2]=O_0-2_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -2, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",4
6415,[N:1]-[C:2]>>[N:1].C-C-N(-C(-N)-[C:2]-O)-C(=O)-C(-C)-C_1-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -1, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
6416,[n:1].[n:2].[C:3]-[O:4]>>[n:1].[n:2].[C:3]=[O:4]_-11-1-1_0000_0000,"{'A': [], 'B': [], 'C': [(3, 4), (4, 3)], 'R': [2, 2, 1, 1]}","{2: 1, 1: -1, 3: -1, 4: -1}","{2: 0, 1: 0, 3: 0, 4: 0}","{2: 0, 1: 0, 3: 0, 4: 0}",3
6417,[C:2]-[N:1]-[C:3]>>[N:1].Br-[C:2].Cl-[C:3]_200_000_000,"{'A': [], 'B': [(1, 2), (1, 3)], 'C': [], 'R': []}","{1: 2, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",6
6418,[O:1]-[C:2]-[C:3]-[O:4]>>[O:1].[C:2]=[C:3].Cl-c1:c:c:c:c(-C(=[O:4])-O-O):c:1_100-1_0000_0000,"{'A': [], 'B': [(1, 2), (3, 4)], 'C': [], 'R': []}","{2: 0, 3: 0, 4: -1, 1: 1}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}",12
6419,[S:1]-[C:2]>>[S:1].Br-C-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: -1, 2: 0}","{1: 0, 2: 0}",2
6420,[C:1]-[C:2]>>O=[C:1]-[O-].C-C(-C)-O-[Si](-C)(-C)-C-[C:2]_-20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: -2}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
6421,[C:2]-[C:3]-[N:1]>>[N:1].[C:2]-[K].O=[C:3]_200_100_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{3: 0, 2: 0, 1: 2}","{3: 0, 2: 0, 1: 1}","{3: 0, 2: 0, 1: 0}",17
6422,[N:1]-[C:2]>>C-C(-[N:1]=[C:2])-c1:c:c:c:c:c:1_-2-1_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{2: -1, 1: -2}","{2: 0, 1: 0}","{2: 0, 1: 0}",3
6423,[O:1]-[C:2]>>[O:1].O=C(-[O-])-c1:c:c:c:c:c:1-c1:c:c:c(-O-[C:2]):c(-[N+](=O)-[O-]):c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
6424,[N:1]-[C:2]>>O=[N:1]-[O-].C-S-c1:c:c2:n:c:n:c(-O-c3:c:c:c(-N-[C:2]):c:c:3-F):c:2:s:1_-10_10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: -1, 2: 0}","{1: 1, 2: 0}","{1: 0, 2: 0}",1
6425,[O:1]>>C-C(-C)(-C)-[O:1]_0_1_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: 0},{1: 1},{1: 0},4
6426,[N:1]-[C:3]=[O:2]>>[N:1].C-C(=O)-[O:2]-[C:3]=O_100_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 1, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",3
6427,[C:1]1-[C:2]-[C:3]-1>>Cl-[C:1]-Cl.[C:2]=[C:3]_000_000_000,"{'A': [], 'B': [(1, 3), (1, 2)], 'C': [], 'R': []}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",2
6428,[O:2]-[N:3]-[C:4]-[c:1]>>Br-[Mg]-[c:1].[O:2]-[N:3]=[C:4]_0-100_0-110_0000,"{'A': [], 'B': [(1, 4)], 'C': [], 'R': [2]}","{1: 0, 4: 0, 3: 0, 2: -1}","{1: 0, 4: 0, 3: 1, 2: -1}","{1: 0, 4: 0, 3: 0, 2: 0}",1
6429,[O:1]-[C:2]>>[O-]-S(-[O-])=[O:1].O=C1-O-C-C(-C-c2:c:c:c:c:c:2)-N-1-[C:2]_-10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",4
6430,[C:1]-[C:4]-[C:2]-[O:3]>>O=[C:1].O-[C:2]-[O:3].C-[C:4]-N-C-C(-O)=O_-10-10_00-10_0000,"{'A': [], 'B': [(1, 4), (2, 4)], 'C': [], 'R': []}","{1: -1, 4: 0, 2: 0, 3: -1}","{1: 0, 4: 0, 2: 0, 3: -1}","{1: 0, 4: 0, 2: 0, 3: 0}",1
6431,[O:1]=[c:2]:[n:3]>>C-[O:1].C-S-[c:2]:[n:3]_10-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1, 3: -1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",1
6432,[c:1]-[C:2]>>Cl-[c:1].C-c1:c:c(-[C:2]):c:c:c:1-n1:n:c:c(-C(=O)-N-C2-C3-C-C4-C-C(-C-3)-C-C-2-C-4):c:1-C(-C)(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
6433,[N:3].[Cl:1]-[C:2]>>[Cl:1].[C:2]-[N:3]_00-1_-100_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 2: 0, 1: 0}","{3: 0, 2: 0, 1: -1}","{3: 0, 2: 0, 1: 0}",3
6434,[C:1]=[C:3](-[N:4])-[N:2]>>[C:1].[N:2].S=[C:3]=[N:4]_210-1_0000_0000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{1: 2, 3: 0, 4: -1, 2: 1}","{1: 0, 3: 0, 4: 0, 2: 0}","{1: 0, 3: 0, 4: 0, 2: 0}",4
6435,[C:1]-[O:2]>>C-C-[C:1].C-C-C(=O)-N(-C1-C-C(-n2:c:n:c3:c(-N-C-C(-c4:c:c:c:c:c:4)-c4:c:c:c:c:c:4):n:c(-C(=O)-O-C):n:c:3:2)-C(-O)-C-1-O)-C(=O)-[O:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
6436,[c:1]-[C:2]>>Br-[c:1].C1-C-O-[C:2]-C-1_0-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",3
6437,[c:1]-[C:2]>>[c:1].Cl-c1:c:c:c(-O-[C:2]):c:c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",10
6438,[O:1]-[C:2]-[C:3]-[O:4]>>[O:1].C-N(-C)-[C:2]=O.O=[C:3](-[O-])-[O:4]_1-1-2-1_000-1_0000,"{'A': [], 'B': [(1, 2), (2, 3)], 'C': [], 'R': []}","{1: 1, 2: -1, 3: -2, 4: -1}","{1: 0, 2: 0, 3: 0, 4: -1}","{1: 0, 2: 0, 3: 0, 4: 0}",1
6439,[N:1]=[C:2]>>[N:1].C1-C-O-[C:2]-O-1_20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 0}","{2: 0, 1: 0}",5
6440,[N:1]-[C:3]-[N:2]>>[N:1].O=[N:2]-[O-].[C:3](-n1:c:c:n:c:1)-n1:c:c:n:c:1_1-10_010_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{2: -1, 1: 1, 3: 0}","{2: 1, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",3
6441,[C:1]-[C:2]>>C1-[C:1]-[C:2]-1_-1-1_00_00,"{'A': [1, 2], 'B': [], 'C': [], 'R': []}","{1: -1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",6
6442,[C:1]-[C:2]>>O-[C:1].[C:2]-[Mg+]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",4
6443,[C:1]-[S:2]-[P:3]=[O:4]>>I-[C:1].C-[O:2]-[P:3]=[S:4]_0000_0000_0000,"{'A': [], 'B': [(1, 2)], 'C': [(3, 4), (4, 3)], 'R': []}","{3: 0, 4: 0, 2: 0, 1: 0}","{3: 0, 4: 0, 2: 0, 1: 0}","{3: 0, 4: 0, 2: 0, 1: 0}",1
6444,[N:1]>>C-O-C(-C)-O-C-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},5
6445,[c:1]-[C:2]>>Br-[c:1].C-N(-[C:2])-c1:c:c:c:c:c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",3
6446,[O:1].[N:2]=[C:3]>>[O:1].[N:2].O=[C:3]_-120_-100_000,"{'A': [], 'B': [(2, 3)], 'C': [], 'R': [1]}","{2: 2, 3: 0, 1: -1}","{2: 0, 3: 0, 1: -1}","{2: 0, 3: 0, 1: 0}",3
6447,[C:1]-[c:2]>>O-[C:1].O-B(-O)-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",3
6448,[C:1]-[C:2]>>Br-[C:1]-Br.O=[C:2]_-1-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: -1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
6449,[C:1]-[C:2]>>Br-C-C-C-C-C-C-O-C-[C:1].O=[N+](-[O-])-c1:c:c:c(-C-C-C-[C:2]):c:c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
6450,[P:1]-[C:2]-[C:3]>>Cl-[P:1].Br-[C:2].C-C-C-C-C-[C:3]_010_000_000,"{'A': [], 'B': [(1, 2), (2, 3)], 'C': [], 'R': []}","{2: 1, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",3
6451,[c:1]-[C:2]>>[c:1].[C:2]-S-c1:c:c:c:c:c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
6452,[C:1]-[C:2]>>Cl-[Mg]-[C:1].C-O-N(-C)-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",10
6453,[c:1]-[Cl:2]>>[c:1].C-C-O-C(=O)-c1:c:n:c2:c:c(-[N+](=O)-[O-]):c:c:c:2:c:1-[Cl:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
6454,[n:2].[n:1]>>[n:1].C-N(-C)-S(=O)(=O)-[n:2]_-10_00_00,"{'A': [2], 'B': [], 'C': [], 'R': [1, 1]}","{2: 0, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",3
6455,[c:1]-[C:2]=[O:3]>>[c:1].O=[C:2]-[O:3]-C-c1:c:c:c:c:c:1_100_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",2
6456,[N:1]-[C:2]>>[N:1].C-n1:n:n:n:c:1-S-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
6457,[O:1].[C:2]>>[O:1].Br-[C:2]_-1-1_-10_00,"{'A': [2], 'B': [], 'C': [], 'R': [1]}","{1: -1, 2: -1}","{1: -1, 2: 0}","{1: 0, 2: 0}",1
6458,[N:1]-[C:2]-[C:3]>>[N:1].[C:2].C-[C:3](-C)-O_12-2_000_000,"{'A': [], 'B': [(1, 2), (2, 3)], 'C': [], 'R': []}","{1: 1, 2: 2, 3: -2}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",1
6459,[S:1]=[O:2]>>[S:1].O=S(-[O-])-S(-[O-])=[O:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
6460,[C:1]-[C:2]>>[C:1].O-C(=O)-[C:2]1-C-C=C-O-1_1-2_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -2, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
6461,[Cl:1]-[C:2]>>[Cl:1].C-C-O-[C:2]=O_1-2_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -2, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
6462,[N:2].[N:1]-[c:3]>>[N:1].[N:2].F-[c:3]_110_010_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': [2, 2, 2]}","{3: 0, 1: 1, 2: 1}","{3: 0, 1: 0, 2: 1}","{3: 0, 1: 0, 2: 0}",1
6463,[c:1]-[c:2]>>N-C(=N)-[c:1].[c:2]-N1-C-C-O-C-C-1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
6464,[n:1]-[C:2]=[C:3]>>[n:1].O=[C:2]-[C:3]_101_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: 1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",3
6465,[C:1]>>C-C(=O)-C(=O)-O-[C:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},2
6466,[C:1]-[O:4]-[C:3]=[O:2]>>O-[C:1].[O:2]-[C:3]=[O:4]_0000_0-100_0000,"{'A': [], 'B': [(1, 4)], 'C': [(3, 2), (2, 3)], 'R': []}","{3: 0, 2: 0, 4: 0, 1: 0}","{3: 0, 2: -1, 4: 0, 1: 0}","{3: 0, 2: 0, 4: 0, 1: 0}",2
6467,[O:1]-[C:2]-[C:3]>>[O:1].[C:2]-O-[C:3]_110_000_000,"{'A': [], 'B': [(1, 2), (2, 3)], 'C': [], 'R': []}","{2: 1, 1: 1, 3: 0}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",1
6468,[C:1]-[C:2]>>C-C(-C)(-C)-O-[C:1]=O.C-S(=O)(=O)-O-C-[C:2]_-20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: -2, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",4
6469,[N:4]-[C:3](=[N:1])-[N:2]>>[N:1].[N:2].C-S-[C:3](=[N:4])-S-C_210-1_0000_0000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{1: 2, 3: 0, 4: -1, 2: 1}","{1: 0, 3: 0, 4: 0, 2: 0}","{1: 0, 3: 0, 4: 0, 2: 0}",1
6470,[C:2]-[N:1]-[C:3]>>[N:1].Br-[C:2].C-O-[C:3]_300_100_000,"{'A': [], 'B': [(1, 3), (1, 2)], 'C': [], 'R': []}","{3: 0, 1: 3, 2: 0}","{3: 0, 1: 1, 2: 0}","{3: 0, 1: 0, 2: 0}",1
6471,[C:1]-[O:2]>>F-C(-F)(-F)-[C:1].C-O-C(=O)-N-C(-C-C-[O:2])-C(=O)-O-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
6472,[C:3]-[N:2]-[C:4]-[c:1]>>[c:1].[N:2].Cl-[C:3].C-C-N(-C-C)-C-[C:4]_1201_0000_0000,"{'A': [], 'B': [(2, 3), (2, 4), (1, 4)], 'C': [], 'R': []}","{3: 0, 2: 2, 1: 1, 4: 1}","{3: 0, 2: 0, 1: 0, 4: 0}","{3: 0, 2: 0, 1: 0, 4: 0}",1
6473,[C:1]-[O:2]>>C1-C-[C:1]-1.Cl-C(=O)-C-[O:2]_-10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: -1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
6474,[C:1]>>C-c1:c:c:c:c:c:1-S(=O)(=O)-O-[C:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},2
6475,[O:1]=[C:2]-[N:3]>>O=C(-[O-])-[O:1].Cl-[C:2]=[N:3]_00-1_-100_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 2: 0, 1: 0}","{3: 0, 2: 0, 1: -1}","{3: 0, 2: 0, 1: 0}",1
6476,[N:1].[N:2]-[S:3]>>[N:1].[N:2].Cl-[S:3]_-110_-100_000,"{'A': [], 'B': [(2, 3)], 'C': [], 'R': [1, 1, 1]}","{3: 0, 2: 1, 1: -1}","{3: 0, 2: 0, 1: -1}","{3: 0, 2: 0, 1: 0}",2
6477,[C:1]=[C:2]-[N:3]>>[C:1].C-C-O-[C:2]=[N:3]_20-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2, 3: -1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",2
6478,[C:1]-[N:2]>>O-[C:1].C-[N:2]-C=O_0-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",9
6479,[C:1]-[C:2]>>[C:1].C-[C:2](-C)(-C)-[Li]_1-3_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: -3}","{1: 0, 2: 0}","{1: 0, 2: 0}",5
6480,[C:1]-[C:3]-[S:2]>>[C:1]-[S:2].Br-[C:3](-C=O)-C=O_00-1_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{3: -1, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
6481,[C:2]1-[C:3]-[S:1]-1>>N-C(-N)=[S:1].O1-[C:2]-[C:3]-1_000_000_000,"{'A': [], 'B': [(1, 3), (1, 2)], 'C': [], 'R': []}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",3
6482,[C:1]-[N:2]>>O=[C:1].C-c1:n:c:c(-C-[N:2]):c:n:1_-10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",5
6483,[O:1]-[c:2]>>O=C(-[O-])-[O:1].C-c1:c:c:c(-S(=O)(=O)-[c:2]):c:c:1_-10_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: -1}","{2: 0, 1: -1}","{2: 0, 1: 0}",1
6484,[C:1]-[S:3]=[O:2]>>[C:1].[O:2]-[S:3]_110_000_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 2: 1, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",1
6485,[C:1]1-[C:2]-[C:3]-1>>[C:1].C-C-[C:2]-[C:3]-[Li]_200_000_000,"{'A': [], 'B': [(1, 3), (1, 2)], 'C': [], 'R': []}","{1: 2, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",1
6486,[Br:1]>>C-[N+](-C)(-C)-C-C-O-C(=O)-c1:c:c:c(-C-[Br:1]):c:c:1_0_1_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: 0},{1: 1},{1: 0},1
6487,[C:1]-[C:2]-[O:3]>>[C:1].[C:2]=[O:3]_100_001_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: 0, 1: 1}","{2: 0, 3: 1, 1: 0}","{2: 0, 3: 0, 1: 0}",1
6488,[O:1]-[c:2]>>[O:1].[c:2]-[Bi](-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",3
6489,[c:1]-[C:2]>>Br-[c:1].C-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",7
6490,[C:4]-[C:2]-[O:3]-[S:1]>>Cl-[S:1].[C:2]=[O:3].C-C-N(-C-C)-C-[C:4]_0000_0000_0000,"{'A': [], 'B': [(2, 4), (1, 3)], 'C': [], 'R': []}","{2: 0, 3: 0, 1: 0, 4: 0}","{2: 0, 3: 0, 1: 0, 4: 0}","{2: 0, 3: 0, 1: 0, 4: 0}",1
6491,[C:2]-[C:3]-[N:1]>>[N:1].[C:2].C-[Si](-C)(-Cl)-[C:3]_111_000_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{2: 1, 3: 1, 1: 1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",1
6492,[C:2]-[N:1]-[C:3]>>[N:1].Br-[C:2].C1-C-O-[C:3]-C-1_20-1_000_000,"{'A': [], 'B': [(1, 2), (1, 3)], 'C': [], 'R': []}","{2: 0, 1: 2, 3: -1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",1
6493,[C:3]-[C:2](-[N:1])=[O:4]>>[N:1].[C:2]1-[C:3]-[O:4]-1_12-10_0000_0000,"{'A': [4, 3], 'B': [(1, 2)], 'C': [], 'R': []}","{4: 0, 2: 2, 3: -1, 1: 1}","{4: 0, 2: 0, 3: 0, 1: 0}","{4: 0, 2: 0, 3: 0, 1: 0}",2
6494,[c:1]-[Br:4].[n:2]:[n:3]>>[c:1].[n:2]:[n:3].O=C1-C-C-C(=O)-N-1-[Br:4]_11-10_0000_0000,"{'A': [], 'B': [(1, 4)], 'C': [], 'R': [3, 3, 2, 2]}","{3: -1, 2: 1, 1: 1, 4: 0}","{3: 0, 2: 0, 1: 0, 4: 0}","{3: 0, 2: 0, 1: 0, 4: 0}",1
6495,[C:1]-[C:2]>>[C:1]-[Na].F-C(-F)(-F)-S(=O)(=O)-O-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
6496,[n:1]>>O=[N+](-[O-])-c1:c:c:c(-[n:1]):c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},2
6497,[O:1]-[C:4]-[C:3]=[C:2]>>[O:1].C-[Si](-C)(-C)-[C:2]-[C:3]=[C:4]_1000_0000_0000,"{'A': [2], 'B': [(1, 4)], 'C': [], 'R': []}","{1: 1, 4: 0, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}",2
6498,[C:1]=[C:2]>>O=[C:1].C-C-P(=O)(-[C:2])-C-C_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 1, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",4
6499,[C:2]-[C:1]=[O:3]>>N-[C:1]=[C:2].C-c1:c:c:c(-S(-O)(=O)=[O:3]):c:c:1_0-10_000_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 0, 3: 0, 2: -1}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",1
6500,[O:1]-[C:2]>>[O:1].Cl-S(=O)(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",5
6501,[C:1]-[S:4]-[C:3]=[O:2]>>I-[C:1].[O:2]-[C:3]=[S:4]_0000_0-100_0000,"{'A': [], 'B': [(1, 4)], 'C': [(3, 2), (2, 3)], 'R': []}","{1: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: -1}","{1: 0, 4: 0, 3: 0, 2: 0}",6
6502,[S:1]-[C:3]-[c:2]>>[S:1].[c:2].O-C-[C:3]_111_000_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{2: 1, 3: 1, 1: 1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",1
6503,[C:1]-[c:2]>>Br-[C:1].I-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",16
6504,[c:1]-[O:2]>>Cl-[c:1].[O:2]-C1-C-C-C-C-O-1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
6505,[Sn:1]-[C:2]#[C:3]>>Cl-[Sn:1].Br-[C:2](-Br)=[C:3]_001_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{3: 1, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",4
