,Smiles_template,Smarts_template,edit_site,change_H
1153,CCl>>Cl-C(-Cl)(-Cl)-[Cl;+0:1].[c;+0:2],[Cl;+0:1]-[c;+0:2]>>Cl-C(-Cl)(-Cl)-[Cl;+0:1].[c;+0:2],"[(2, 1)]","{2: 1, 1: 0}"
1154,CN>>Cl-[C;+0:1]-Cl.[N;+0:2],[C;+0:1]-[N;+0:2]>>Cl-[C;+0:1]-Cl.[N;+0:2],"[(1, 2)]","{2: 1, 1: -1}"
1155,N[SiH3]>>Cl-[Si;+0:1].[N;+0:2],[Si;+0:1]-[N;+0:2]>>Cl-[Si;+0:1].[N;+0:2],"[(2, 1)]","{1: 0, 2: 1}"
1156,CC>>Br-[C;+0:1].O-B(-O)-[c;+0:2],[C;+0:1]-[c;+0:2]>>Br-[C;+0:1].O-B(-O)-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
1157,CCO>>C-C-O-C-[C;+0:1].[C;+0:2]=[O;+0:3],[C;+0:1]-[C;+0:2]-[O;+0:3]>>C-C-O-C-[C;+0:1].[C;+0:2]=[O;+0:3],"[(1, 2)]","{2: 0, 3: -1, 1: 0}"
1158,CN>>F-[c;+0:1].[N;+1:2],[c;+0:1]-[N;+0:2]>>F-[c;+0:1].[N;+1:2],"[(1, 2)]","{1: 0, 2: 2}"
1159,CNC>>[C;+0:1]-C-C1=N-C-C-C-N-1-[C;+0:2].[N;+0:3],[C;+0:1]-[N;+0:3]-[C;+0:2]>>[C;+0:1]-C-C1=N-C-C-C-N-1-[C;+0:2].[N;+0:3],"[(2, 3), (1, 3)]","{2: 0, 3: 2, 1: 0}"
1160,[NH]:C(:[NH])CNCCNC=O>>O=[C;+0:1]-[O;+0:2].[N;+0:3]-[C;+0:4]-[C;+0:5]-[N;+0:6]-[C;+0:7]-[c;+0:8](:[n;+0:9]):[n;+0:10],[O;+0:2]=[C;+0:1]-[N;+0:3]-[C;+0:4]-[C;+0:5]-[N;+0:6]-[C;+0:7]-[c;+0:8](:[n;+0:9]):[n;+0:10]>>O=[C;+0:1]-[O;+0:2].[N;+0:3]-[C;+0:4]-[C;+0:5]-[N;+0:6]-[C;+0:7]-[c;+0:8](:[n;+0:9]):[n;+0:10],"[(1, 3)]","{1: 0, 2: 1, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: -1, 10: 1}"
1161,N>>C=C-C-[N;+0:1],[N;+0:1]>>C=C-C-[N;+0:1],[1],{1: -1}
1162,COCS>>O-[C;+0:1].[S;+0:2].[C;+0:3]=[O;+0:4],[C;+0:1]-[O;+0:4]-[C;+0:3]-[S;+0:2]>>O-[C;+0:1].[S;+0:2].[C;+0:3]=[O;+0:4],"[(3, 2), (1, 4)]","{3: 0, 4: 0, 1: 0, 2: 1}"
1163,CCO>>[C;+0:1]-[Na].[C;+0:2]=[O;+0:3],[C;+0:1]-[C;+0:2]-[O;+0:3]>>[C;+0:1]-[Na].[C;+0:2]=[O;+0:3],"[(1, 2)]","{2: 0, 3: -1, 1: 0}"
1164,CCCO>>Cl-[C;+0:1].[O;+0:2].[C;+0:3]=[C;+0:4],[C;+0:1]-[C;+0:3]-[C;+0:4]-[O;+0:2]>>Cl-[C;+0:1].[O;+0:2].[C;+0:3]=[C;+0:4],"[(1, 3), (4, 2)]","{3: 0, 4: 0, 2: 1, 1: 0}"
1165,CC>>I-[c;+0:1].I-[c;+0:2],[c;+0:1]-[c;+0:2]>>I-[c;+0:1].I-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
1166,C1CCC1>>[C;+0:1]=[C;+0:2]-[C;+0:3].[C;+0:4]=[N+]=[N-],[C;+0:1]1-[C;+0:2]-[C;+0:4]-[C;+0:3]-1>>[C;+0:1]=[C;+0:2]-[C;+0:3].[C;+0:4]=[N+]=[N-],"[(2, 4), (1, 3)]","{2: 0, 4: -1, 1: 0, 3: 1}"
1167,[NH]:C(:[NH])CCN>>O-[C;+0:1]-[C;+0:2]-[c;+0:3](:[n;+0:4]):[n;+0:5].[N;+0:6],[N;+0:6]-[C;+0:1]-[C;+0:2]-[c;+0:3](:[n;+0:4]):[n;+0:5]>>O-[C;+0:1]-[C;+0:2]-[c;+0:3](:[n;+0:4]):[n;+0:5].[N;+0:6],"[(1, 6)]","{6: 1, 1: 0, 2: 0, 3: 0, 4: 1, 5: -1}"
1168,CC>>Cl-[C;+0:1].[C;+0:2]-[Li],[C;+0:1]-[C;+0:2]>>Cl-[C;+0:1].[C;+0:2]-[Li],"[(1, 2)]","{2: 0, 1: 0}"
1169,C=CC>>[C;+0:1]-[C;+0:2]=[C;+0:3],[C;+0:1]=[C;+0:2]-[C;+0:3]>>[C;+0:1]-[C;+0:2]=[C;+0:3],"[(1, 2)]","{1: 1, 2: 0, 3: -1}"
1170,CSC=N>>C-C(-C)(-[C;+0:1])-[O-].[N;+0:2]-[C;+0:3]=[S;+0:4],[C;+0:1]-[S;+0:4]-[C;+0:3]=[N;+0:2]>>C-C(-C)(-[C;+0:1])-[O-].[N;+0:2]-[C;+0:3]=[S;+0:4],"[(1, 4)]","{3: 0, 2: 1, 4: 0, 1: 0}"
1171,CC>>C-O-N(-C)-[C;+0:1].I-[c;+0:2],[C;+0:1]-[c;+0:2]>>C-O-N(-C)-[C;+0:1].I-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
1172,CC=O>>Br-[c;+0:1].C-C-[O;+0:2]-[C;+0:3]-C,[c;+0:1]-[C;+0:3]=[O;+0:2]>>Br-[c;+0:1].C-C-[O;+0:2]-[C;+0:3]-C,"[(1, 3)]","{1: 0, 3: 1, 2: 0}"
1173,CCC>>C-[N+](-C)(-C)-[C;+0:1].O-[C;+0:2].[C;+0:3]-[K],[C;+0:1]-[C;+0:2]-[C;+0:3]>>C-[N+](-C)(-C)-[C;+0:1].O-[C;+0:2].[C;+0:3]-[K],"[(1, 2), (2, 3)]","{1: 0, 2: 1, 3: 0}"
1174,CS>>F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:1].[S;+0:2],[C;+0:1]-[S;+0:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:1].[S;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
1175,CO>>N#C-C(-N-O-[C;+0:1])-c1:c:c:c:c:c:1.[O;+0:2],[C;+0:1]-[O;+0:2]>>N#C-C(-N-O-[C;+0:1])-c1:c:c:c:c:c:1.[O;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
1176,CC>>Br-[c;+0:1].F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:2],[C;+0:2]-[c;+0:1]>>Br-[c;+0:1].F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
1177,N>>C-C(-C)(-C)-O-[N;+0:1],[N;+0:1]>>C-C(-C)(-C)-O-[N;+0:1],[1],{1: -1}
1178,CN>>Cl-[C;+0:1].[N-]=[N+]=[N;+0:2],[C;+0:1]-[N;+0:2]>>Cl-[C;+0:1].[N-]=[N+]=[N;+0:2],"[(1, 2)]","{2: -1, 1: 0}"
1179,CO>>C-S(=O)(=O)-[O;+0:1].[C;+0:2]-[O-],[C;+0:2]-[O;+0:1]>>C-S(=O)(=O)-[O;+0:1].[C;+0:2]-[O-],"[(2, 1)]","{1: 0, 2: 0}"
1180,C>>[C;+0:1]-C-c1:c:c:c:c:c:1,[C;+0:1]>>[C;+0:1]-C-c1:c:c:c:c:c:1,[1],{1: -1}
1181,C=O>>C-C(=O)-[O;-1:1].N=[C;+0:2],[C;+0:2]=[O;+0:1]>>C-C(=O)-[O;-1:1].N=[C;+0:2],"[(2, 1)]","{2: 0, 1: 0}"
1182,CC>>C-C-C-C-[Sn](-[c;+0:1])(-C-C-C-C)-C-C-C-C.F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:2],[C;+0:2]-[c;+0:1]>>C-C-C-C-[Sn](-[c;+0:1])(-C-C-C-C)-C-C-C-C.F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
1183,CN>>C-[N;+0:1].Cl-[C;+0:2],[N;+0:1]-[C;+0:2]>>C-[N;+0:1].Cl-[C;+0:2],"[(2, 1)]","{1: 0, 2: 0}"
1184,O.[Br-]>>C-[O;+0:1].[Br;+0:2],[O;+0:1].[Br;-1:2]>>C-[O;+0:1].[Br;+0:2],[1],"{2: 1, 1: -1}"
1185,CCNC>>O-[C;+0:1]-[C;+0:2]-[C;+0:3].[N;+0:4],[C;+0:2]-[C;+0:1]-[N;+0:4]-[C;+0:3]>>O-[C;+0:1]-[C;+0:2]-[C;+0:3].[N;+0:4],"[2, (3, 4), (1, 4)]","{2: -1, 3: 0, 4: 2, 1: 0}"
1186,C=C>>C-S(=O)-[C;+0:1].O=[C;+0:2],[C;+0:2]=[C;+0:1]>>C-S(=O)-[C;+0:1].O=[C;+0:2],"[(1, 2)]","{2: 0, 1: 1}"
1187,OCCO>>C-C1(-C)-[O;+0:1]-[C;+0:2]-[C;+0:3]-[O;+0:4]-1,[O;+0:1]-[C;+0:2]-[C;+0:3]-[O;+0:4]>>C-C1(-C)-[O;+0:1]-[C;+0:2]-[C;+0:3]-[O;+0:4]-1,"[1, 4]","{1: -1, 2: 0, 3: 0, 4: -1}"
1188,CN>>C-[C;+0:1]-O-C=O.[N;+0:2],[C;+0:1]-[N;+0:2]>>C-[C;+0:1]-O-C=O.[N;+0:2],"[(1, 2)]","{2: 1, 1: -1}"
1189,CCCC>>Cl-[C;+0:1].[c;+0:2].[C;+0:3]=[C;+0:4],[C;+0:1]-[C;+0:3]-[C;+0:4]-[c;+0:2]>>Cl-[C;+0:1].[c;+0:2].[C;+0:3]=[C;+0:4],"[(2, 4), (1, 3)]","{2: 1, 4: 0, 3: 0, 1: 0}"
1190,C>>N-C(=O)-[c;+0:1],[c;+0:1]>>N-C(=O)-[c;+0:1],[1],{1: -1}
1191,C=O>>C-C-[O;+0:1].N=[C;+0:2],[O;+0:1]=[C;+0:2]>>C-C-[O;+0:1].N=[C;+0:2],"[(2, 1)]","{2: 0, 1: 1}"
1192,CO>>C-[C;+0:1]-N=C=N-C-C-C-N(-C)-C.[O;+0:2],[C;+0:1]-[O;+0:2]>>C-[C;+0:1]-N=C=N-C-C-C-N(-C)-C.[O;+0:2],"[(1, 2)]","{2: 1, 1: -1}"
1193,CC>>Cl-[C;+0:1].[C;+0:2]-c1:c:c:c:c:c:1,[C;+0:1]-[C;+0:2]>>Cl-[C;+0:1].[C;+0:2]-c1:c:c:c:c:c:1,"[(1, 2)]","{2: 0, 1: 0}"
1194,NCO>>[C;+0:1](-n1:c:c:n:c:1)-n1:c:c:n:c:1.[N;+0:2].[O;+0:3],[N;+0:2]-[C;+0:1]-[O;+0:3]>>[C;+0:1](-n1:c:c:n:c:1)-n1:c:c:n:c:1.[N;+0:2].[O;+0:3],"[(1, 2), (1, 3)]","{2: 1, 3: 1, 1: 0}"
1195,CC=O>>C1-C-C-[O;+0:1]-C-1.N#[C;+0:2].[C;+0:3]-[Mg+],[O;+0:1]=[C;+0:2]-[C;+0:3]>>C1-C-C-[O;+0:1]-C-1.N#[C;+0:2].[C;+0:3]-[Mg+],"[(2, 1), (2, 3)]","{2: 0, 1: 0, 3: 0}"
1196,CN>>C-O-S(=O)(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-O-S(=O)(=O)-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
1197,C>>O=C-[C;+0:1],[C;+0:1]>>O=C-[C;+0:1],[1],{1: -1}
1198,N>>C-[Si](-C)(-C)-C-C-O-C(=O)-[N;+0:1],[N;+0:1]>>C-[Si](-C)(-C)-C-C-O-C(=O)-[N;+0:1],[1],{1: -1}
1199,C[SnH]>>Cl-[Sn;+0:1].[c;+0:2],[Sn;+0:1]-[c;+0:2]>>Cl-[Sn;+0:1].[c;+0:2],"[(2, 1)]","{2: 1, 1: 0}"
1200,CC>>C-O-[C;+0:1].O-[C;+0:2],[C;+0:1]-[C;+0:2]>>C-O-[C;+0:1].O-[C;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
1201,NCO>>C-[O;+0:1].C=[C;+0:2].[N;+0:3],[O;+0:1]-[C;+0:2]-[N;+0:3]>>C-[O;+0:1].C=[C;+0:2].[N;+0:3],"[(2, 1), (2, 3)]","{2: 0, 1: 0, 3: 1}"
1202,OCCS>>Cl-S(-Cl)=[O;+0:1].O=[S;+0:2]-[C;+0:3]-[C;+0:4],[O;+0:1]-[C;+0:3]-[C;+0:4]-[S;+0:2]>>Cl-S(-Cl)=[O;+0:1].O=[S;+0:2]-[C;+0:3]-[C;+0:4],"[(3, 1), (4, 2)]","{3: 0, 1: -1, 4: 1, 2: 0}"
1203,CI>>O-[I2;+2:1](-[O-])-[O-].[c;+0:2],[I;+0:1]-[c;+0:2]>>O-[I2;+2:1](-[O-])-[O-].[c;+0:2],"[(2, 1)]","{2: 1, 1: 0}"
1204,C[N]:N:[NH]>>O-[C;+0:1].[n;+0:2]:[n;+0:3]:[n;+0:4],[C;+0:1]-[n;+0:2]:[n;+0:3]:[n;+0:4]>>O-[C;+0:1].[n;+0:2]:[n;+0:3]:[n;+0:4],"[(1, 2)]","{2: 0, 1: 0, 3: 0, 4: 1}"
1205,CNS>>C-[S;+0:1]-Cl.Cl-[C;+0:2]-Cl.[N;+0:3],[S;+0:1]-[N;+0:3]-[C;+0:2]>>C-[S;+0:1]-Cl.Cl-[C;+0:2]-Cl.[N;+0:3],"[(3, 1), (2, 3)]","{3: 2, 1: -1, 2: -1}"
1206,CN>>C-N(-C)-P(=O)(-N(-C)-C)-N(-C)-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-N(-C)-P(=O)(-N(-C)-C)-N(-C)-[C;+0:1].[N;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
1207,O=S>>O=[Se]=[O;+0:1].[S;+0:2],[O;+0:1]=[S;+0:2]>>O=[Se]=[O;+0:1].[S;+0:2],"[(1, 2)]","{2: 0, 1: 0}"
1208,N>>C-C(-C)-C-N(-C-C(-C)-C)-C=[N;+0:1],[N;+0:1]>>C-C(-C)-C-N(-C-C(-C)-C)-C=[N;+0:1],[1],{1: -2}
1209,N=C(N)N>>[N;+0:1]-[C;+0:2]#[N;+0:3].[n;+0:4],[N;+0:1]=[C;+0:2](-[N;+0:3])-[n;+0:4]>>[N;+0:1]-[C;+0:2]#[N;+0:3].[n;+0:4],"[(2, 4)]","{4: 1, 2: 0, 1: 1, 3: -2}"
1210,N[NH+]=O>>O=[N;+1:1]-[O;+0:2].[N;+0:3],[O;+0:2]=[N;+1:1]-[N;+0:3]>>O=[N;+1:1]-[O;+0:2].[N;+0:3],"[(1, 3)]","{3: 1, 1: 0, 2: 1}"
1211,CCP>>C-O-[P;+0:1].[C;+0:2]=[C;+0:3],[P;+0:1]-[C;+0:3]-[C;+0:2]>>C-O-[P;+0:1].[C;+0:2]=[C;+0:3],"[(3, 1)]","{1: 0, 3: 0, 2: -1}"
1212,[NH]:[C]=O>>C-O-C(=O)-C-[O;+0:1]-[c;+0:2]:[n;+0:3],[O;+0:1]=[c;+0:2]:[n;+0:3]>>C-O-C(=O)-C-[O;+0:1]-[c;+0:2]:[n;+0:3],"[(2, 1)]","{2: 0, 1: 0, 3: -1}"
1213,CO>>C-C-N(-C(-C)-C)-[C;+0:1](-C)-C.[O;+0:2],[C;+0:1]-[O;+0:2]>>C-C-N(-C(-C)-C)-[C;+0:1](-C)-C.[O;+0:2],"[(1, 2)]","{2: 1, 1: -2}"
1214,CF>>F-[B-](-F)(-F)-[F;+0:1].N-[c;+0:2],[F;+0:1]-[c;+0:2]>>F-[B-](-F)(-F)-[F;+0:1].N-[c;+0:2],"[(2, 1)]","{2: 0, 1: 0}"
1215,CCl>>Cl-C(=O)-C(=O)-[Cl;+0:1].[C;+0:2]-[O-],[C;+0:2]-[Cl;+0:1]>>Cl-C(=O)-C(=O)-[Cl;+0:1].[C;+0:2]-[O-],"[(2, 1)]","{2: 0, 1: 0}"
1216,CCCCl>>N-[c;+0:1].[C;+0:2]=[C;+0:3].[Cl;+0:4],[c;+0:1]-[C;+0:3]-[C;+0:2]-[Cl;+0:4]>>N-[c;+0:1].[C;+0:2]=[C;+0:3].[Cl;+0:4],"[(1, 3), (2, 4)]","{1: 0, 3: 0, 2: 0, 4: 1}"
1217,O>>C=C-[O;+0:1],[O;+0:1]>>C=C-[O;+0:1],[1],{1: -1}
1218,NCCC[O-]>>[C;+0:1]=[C;+0:2].[C;+0:3]=[O;+0:4].[N;-1:5],[O;-1:4]-[C;+0:3]-[C;+0:2]-[C;+0:1]-[N;+0:5]>>[C;+0:1]=[C;+0:2].[C;+0:3]=[O;+0:4].[N;-1:5],"[(1, 5), (2, 3)]","{5: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
1219,CC>>Br-[c;+0:1].C-C-N(-[C;+0:2])-C-C,[C;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-C-N(-[C;+0:2])-C-C,"[(1, 2)]","{1: 0, 2: 0}"
1220,CS[CH]:[SH+]>>C-O-S(=O)(=O)-O-[C;+0:1].[S;+0:2]=[c;+0:3]:[s;+0:4],[C;+0:1]-[S;+0:2]-[c;+0:3]:[s;+1:4]>>C-O-S(=O)(=O)-O-[C;+0:1].[S;+0:2]=[c;+0:3]:[s;+0:4],"[(1, 2)]","{4: 0, 3: 0, 2: 0, 1: 0}"
1221,NC=O>>C-C(-C)(-C)-[O;+0:1]-[C;+0:2]=O.[N;+0:3],[N;+0:3]-[C;+0:2]=[O;+0:1]>>C-C(-C)(-C)-[O;+0:1]-[C;+0:2]=O.[N;+0:3],"[(2, 3)]","{3: 1, 2: 0, 1: 0}"
1222,CO>>C-C(=O)-[O;+0:1].O=N-N(-[C;+0:2])-C-c1:c:c:c:c:c:1,[C;+0:2]-[O;+0:1]>>C-C(=O)-[O;+0:1].O=N-N(-[C;+0:2])-C-c1:c:c:c:c:c:1,"[(2, 1)]","{2: 0, 1: 0}"
1223,C=O>>C-S-[C;+0:1]-S(=O)(=O)-c1:c:c:c:c:c:1.C-[O;+0:2],[C;+0:1]=[O;+0:2]>>C-S-[C;+0:1]-S(=O)(=O)-c1:c:c:c:c:c:1.C-[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
1224,CC=O>>C-C(-C)(-C)-[O;+0:1]-[C;+0:2]=O.C-C-O-C(=O)-[C;+0:3],[C;+0:3]-[C;+0:2]=[O;+0:1]>>C-C(-C)(-C)-[O;+0:1]-[C;+0:2]=O.C-C-O-C(=O)-[C;+0:3],"[(2, 3)]","{2: 0, 1: 0, 3: 0}"
1225,C=CS>>[C;+0:1]#[C;+0:2].[S;+0:3],[C;+0:1]=[C;+0:2]-[S;+0:3]>>[C;+0:1]#[C;+0:2].[S;+0:3],"[(2, 3)]","{3: 1, 2: 0, 1: -1}"
1226,CC=O>>C-C-[O;+0:1]-[C;+0:2]=O.[Mg+]-[c;+0:3],[O;+0:1]=[C;+0:2]-[c;+0:3]>>C-C-[O;+0:1]-[C;+0:2]=O.[Mg+]-[c;+0:3],"[(2, 3)]","{2: 0, 1: 0, 3: 0}"
1227,CC=O>>Br-[C;+0:1].C-[O;+0:2]-[C;+0:3]=O,[C;+0:1]-[C;+0:3]=[O;+0:2]>>Br-[C;+0:1].C-[O;+0:2]-[C;+0:3]=O,"[(1, 3)]","{3: 0, 2: 0, 1: 0}"
1228,CCl>>C-C-S-[C;+0:1].Cl-S(=O)(=O)-[Cl;+0:2],[C;+0:1]-[Cl;+0:2]>>C-C-S-[C;+0:1].Cl-S(=O)(=O)-[Cl;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
1229,C=C>>C-O-C(=O)-O-[C;+0:1]-[C;+0:2],[C;+0:2]=[C;+0:1]>>C-O-C(=O)-O-[C;+0:1]-[C;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
1230,CC>>Cl-[c;+0:1].O=[C;+0:2](-[O-])-[O-],[C;+0:2]-[c;+0:1]>>Cl-[c;+0:1].O=[C;+0:2](-[O-])-[O-],"[(1, 2)]","{1: 0, 2: -3}"
1231,CC>>N-[c;+0:1].[c;+0:2],[c;+0:1]-[c;+0:2]>>N-[c;+0:1].[c;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
1232,CC=O>>C-C-[O;+0:1]-[C;+0:2]=[C;+0:3],[O;+0:1]=[C;+0:2]-[C;+0:3]>>C-C-[O;+0:1]-[C;+0:2]=[C;+0:3],"[(2, 1)]","{1: 0, 2: 0, 3: -1}"
1233,NCN>>N-C(=O)-N-c1:c:c:c(-O-C-C-[N;+0:1]2-C-C-C-C-2):c:c:1.[C;+0:2]=[N;+0:3],[N;+0:3]-[C;+0:2]-[N;+0:1]>>N-C(=O)-N-c1:c:c:c(-O-C-C-[N;+0:1]2-C-C-C-C-2):c:c:1.[C;+0:2]=[N;+0:3],"[(2, 1)]","{1: -2, 2: 0, 3: -1}"
1234,CN>>Cl-[C;+0:1].[N;+1:2],[C;+0:1]-[N;+0:2]>>Cl-[C;+0:1].[N;+1:2],"[(1, 2)]","{2: 2, 1: 0}"
1235,CCl>>[Cl;+0:1]-[O-].[c;+0:2],[Cl;+0:1]-[c;+0:2]>>[Cl;+0:1]-[O-].[c;+0:2],"[(2, 1)]","{1: 0, 2: 1}"
1236,CCO[CH]:[CH]O>>O-C-[C;+0:1].[C;+0:2]1-[O;+0:3]-[c;+0:4]:[c;+0:5]-[O;+0:6]-1,[C;+0:1]-[C;+0:2]-[O;+0:3]-[c;+0:4]:[c;+0:5]-[O;+0:6]>>O-C-[C;+0:1].[C;+0:2]1-[O;+0:3]-[c;+0:4]:[c;+0:5]-[O;+0:6]-1,"[6, (1, 2)]","{2: 0, 3: 0, 4: 0, 5: 0, 6: -1, 1: 0}"
1237,CC>>C-C(-C)(-C)-O-[C;+0:1].O-C(=O)-[c;+0:2],[C;+0:1]-[c;+0:2]>>C-C(-C)(-C)-O-[C;+0:1].O-C(=O)-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
1238,COC>>[C;+0:1].[C;+0:2].[O-]-S(-[O-])=[O;+0:3],[C;+0:2]-[O;+0:3]-[C;+0:1]>>[C;+0:1].[C;+0:2].[O-]-S(-[O-])=[O;+0:3],"[(2, 3), (1, 3)]","{2: 1, 3: 0, 1: 1}"
1239,CNCC[CH]:N:C:[NH]>>F-[c;+0:1].[N;+0:2]-[C;+0:3]-[C;+0:4]-[c;+0:5]:[n;+0:6]:[c;+0:7]:[n;+0:8],[c;+0:1]-[N;+0:2]-[C;+0:3]-[C;+0:4]-[c;+0:5]:[n;+0:6]:[c;+0:7]:[n;+0:8]>>F-[c;+0:1].[N;+0:2]-[C;+0:3]-[C;+0:4]-[c;+0:5]:[n;+0:6]:[c;+0:7]:[n;+0:8],"[(1, 2)]","{2: 1, 3: 0, 4: 0, 5: 0, 8: 1, 7: 0, 6: -1, 1: 0}"
1240,[Cl-].[NH4+]>>C-C(-C)(-C)-O-C(=O)-[N;+0:1].[Cl;+0:2],[Cl;-1:2].[N;+1:1]>>C-C(-C)(-C)-O-C(=O)-[N;+0:1].[Cl;+0:2],[1],"{1: -2, 2: 1}"
1241,CN=NC>>[C;+0:1]-O-c1:c:c:c:c:c:1.[C;+0:2]=[N;+0:3]-[N;+0:4],[C;+0:1]-[N;+0:4]=[N;+0:3]-[C;+0:2]>>[C;+0:1]-O-c1:c:c:c:c:c:1.[C;+0:2]=[N;+0:3]-[N;+0:4],"[(1, 4)]","{4: 2, 3: 0, 2: -1, 1: 0}"
1242,Cl.[NH]:[C]=S>>N-C(-N)=[S;+0:1].[Cl;+0:2]-[c;+0:3]:[n;+0:4],[Cl;+0:2].[S;+0:1]=[c;+0:3]:[n;+0:4]>>N-C(-N)=[S;+0:1].[Cl;+0:2]-[c;+0:3]:[n;+0:4],"[2, (3, 1)]","{2: -1, 3: 0, 1: 0, 4: -1}"
1243,NCO>>Br-[C;+0:1]-Br.[O;+0:2].[n;+0:3],[O;+0:2]-[C;+0:1]-[n;+0:3]>>Br-[C;+0:1]-Br.[O;+0:2].[n;+0:3],"[(1, 2), (1, 3)]","{2: 1, 1: 0, 3: 1}"
1244,CP>>Br-[C;+0:1].Cl-[P;+0:2],[C;+0:1]-[P;+0:2]>>Br-[C;+0:1].Cl-[P;+0:2],"[(1, 2)]","{2: 0, 1: 0}"
1245,CC>>C-c1:c:c:c(-S(=O)(=O)-O-[C;+0:1]):c:c:1.O-B(-O)-[c;+0:2],[C;+0:1]-[c;+0:2]>>C-c1:c:c:c(-S(=O)(=O)-O-[C;+0:1]):c:c:1.O-B(-O)-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
1246,C=CC=C>>O=[C;+0:1].[C;+0:2]=[C;+0:3]-[C;+0:4],[C;+0:1]=[C;+0:2]-[C;+0:3]=[C;+0:4]>>O=[C;+0:1].[C;+0:2]=[C;+0:3]-[C;+0:4],"[(1, 2)]","{2: 1, 1: 0, 3: 0, 4: 1}"
1247,C>>O-C(=O)-[C;+0:1],[C;+0:1]>>O-C(=O)-[C;+0:1],[1],{1: -1}
1248,NCN>>O=[C;+0:1].[N;+0:2].[N;+0:3],[N;+0:2]-[C;+0:1]-[N;+0:3]>>O=[C;+0:1].[N;+0:2].[N;+0:3],"[(1, 3), (1, 2)]","{3: 1, 2: 1, 1: 0}"
1249,CI>>C-S(=O)(=O)-O-[C;+0:1].[I;-1:2],[C;+0:1]-[I;+0:2]>>C-S(=O)(=O)-O-[C;+0:1].[I;-1:2],"[(1, 2)]","{1: 0, 2: 0}"
1250,COCCN>>Cl-[c;+0:1].[C;+0:2]1-[C;+0:3]-[O;+0:4]-1.[N;+0:5],[c;+0:1]-[O;+0:4]-[C;+0:2]-[C;+0:3]-[N;+0:5]>>Cl-[c;+0:1].[C;+0:2]1-[C;+0:3]-[O;+0:4]-1.[N;+0:5],"[(3, 5), (1, 4)]","{5: 1, 3: 0, 2: 0, 1: 0, 4: 0}"
1251,C[SiH3]>>Cl-[Si;+0:1].[C;+0:2]-[Li],[Si;+0:1]-[C;+0:2]>>Cl-[Si;+0:1].[C;+0:2]-[Li],"[(2, 1)]","{1: 0, 2: 0}"
1252,CC>>C-O-C1-C-C(-c2:c:c:c(-[C;+0:1]):c:c:2)-C(-O-C)-O-1.[c;+0:2],[C;+0:1]-[c;+0:2]>>C-O-C1-C-C(-c2:c:c:c(-[C;+0:1]):c:c:2)-C(-O-C)-O-1.[c;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
1253,CC(O)O>>[C;+0:1]#[C;+0:2].[O;+0:3].[O;-1:4],[C;+0:2]-[C;+0:1](-[O;+0:4])-[O;+0:3]>>[C;+0:1]#[C;+0:2].[O;+0:3].[O;-1:4],"[(1, 4), (1, 3)]","{1: 0, 2: -2, 4: 0, 3: 1}"
1254,C>>I-[c;+0:1],[c;+0:1]>>I-[c;+0:1],[1],{1: -1}
1255,CN>>Br-[c;+0:1].C-[Si](-C)(-C)-[N;-1:2]-[Si](-C)(-C)-C,[N;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-[Si](-C)(-C)-[N;-1:2]-[Si](-C)(-C)-C,"[(1, 2)]","{1: 0, 2: -2}"
1256,COC=O>>I-[C;+0:1].[O;+0:2]=[C;+0:3]-[O;+0:4],[C;+0:1]-[O;+0:2]-[C;+0:3]=[O;+0:4]>>I-[C;+0:1].[O;+0:2]=[C;+0:3]-[O;+0:4],"[(1, 2)]","{3: 0, 2: 0, 1: 0, 4: 1}"
